Unnamed: 0,Role,JobTitle,Company,SalaryRange,Location,ExperienceLevel,RemoteOption,JobType,Link,City,State,RequiredSkills,PostedDate,Applications,SavedCount,ViewCount
876,Scrum Master,Scrum Master,NVIDIA,$120k-$140k,"Denver, CO",Entry,Hybrid,Contract,https://nvidia.com/careers/ai-engineer,Denver,CO,"Computer Vision, Deep Learning, NLP, Neural Networks, Python, TensorFlow",2025-04-04 21:54:06.323530,148,198,631
69,Database Administrator,Database Administrator,Google,$100k-$120k,"San Jose, CA",Senior,No,Full-time,https://careers.google.com/ml-analyst,San Jose,CA,"Matplotlib, Pandas, Python, SQL, Scikit-learn, TensorFlow",2025-03-31 21:54:06.323530,423,272,870
737,Business Analyst,Business Analyst,Google,$140k-$160k,"Columbus, OH",Entry,No,Internship,https://careers.google.com/ml-analyst,Columbus,OH,"Matplotlib, Pandas, Python, SQL, Scikit-learn, TensorFlow",2025-03-25 21:54:06.323530,165,224,456
995,Data Scientist,Data Scientist,Google,$80k-$100k,"Phoenix, AZ",Senior,Hybrid,Full-time,https://careers.google.com/ml-analyst,Phoenix,AZ,"Matplotlib, Pandas, Python, SQL, Scikit-learn, TensorFlow",2025-04-06 21:54:06.323530,322,157,477
418,AI Engineer,AI Engineer,Google,$80k-$100k,"Boston, MA",Senior,Hybrid,Internship,https://careers.google.com/ml-analyst,Boston,MA,"Matplotlib, Pandas, Python, SQL, Scikit-learn, TensorFlow",2025-04-03 21:54:06.323530,393,198,861
880,Site Reliability Engineer,Site Reliability Engineer,Google,$140k-$160k,"San Francisco, CA",Senior,No,Full-time,https://careers.google.com/ml-analyst,San Francisco,CA,"Matplotlib, Pandas, Python, SQL, Scikit-learn, TensorFlow",2025-04-20 21:54:06.323530,401,101,718
405,Data Engineer,Data Engineer,Adobe,$80k-$100k,"Raleigh, NC",Senior,Hybrid,Full-time,https://adobe.com/careers/ux-designer,Raleigh,NC,"Adobe XD, Figma, Prototyping, Sketch, User Research, Wireframing",2025-04-05 21:54:06.323530,358,283,686
970,Data Scientist,Data Scientist,Adobe,$120k-$140k,"Boston, MA",Mid,Yes,Full-time,https://adobe.com/careers/ux-designer,Boston,MA,"Adobe XD, Figma, Prototyping, Sketch, User Research, Wireframing",2025-04-08 21:54:06.323530,464,26,777
728,Mobile App Developer,Mobile App Developer,Adobe,$140k-$160k,"San Francisco, CA",Entry,Yes,Full-time,https://adobe.com/careers/ux-designer,San Francisco,CA,"Adobe XD, Figma, Prototyping, Sketch, User Research, Wireframing",2025-03-26 21:54:06.323530,127,100,433
290,Scrum Master,Scrum Master,Adobe,$140k-$160k,"Palo Alto, CA",Entry,No,Contract,https://adobe.com/careers/ux-designer,Palo Alto,CA,"Adobe XD, Figma, Prototyping, Sketch, User Research, Wireframing",2025-03-28 21:54:06.323530,431,89,554
182,Cloud Engineer,Cloud Engineer,Adobe,$80k-$100k,"Miami, FL",Entry,Hybrid,Contract,https://adobe.com/careers/ux-designer,Miami,FL,"Adobe XD, Figma, Prototyping, Sketch, User Research, Wireframing",2025-04-22 21:54:06.323530,242,148,458
403,Site Reliability Engineer,Site Reliability Engineer,Netflix,$140k-$160k,"Palo Alto, CA",Mid,Hybrid,Contract,https://jobs.netflix.com/java-backend,Palo Alto,CA,"Hibernate, Java, PostgreSQL, REST APIs, SQL, Spring Boot",2025-04-22 21:54:06.323530,404,62,634
773,Scrum Master,Scrum Master,Netflix,$80k-$100k,"Denver, CO",Mid,Hybrid,Full-time,https://jobs.netflix.com/java-backend,Denver,CO,"Hibernate, Java, PostgreSQL, REST APIs, SQL, Spring Boot",2025-04-15 21:54:06.323530,155,101,297
808,UI/UX Designer,UI/UX Designer,Netflix,$80k-$100k,"Washington, DC",Mid,No,Full-time,https://jobs.netflix.com/java-backend,Washington,DC,"Hibernate, Java, PostgreSQL, REST APIs, SQL, Spring Boot",2025-04-19 21:54:06.323530,404,282,764
6,Full Stack Developer,Full Stack Developer,Netflix,$80k-$100k,"Redmond, WA",Entry,Hybrid,Internship,https://jobs.netflix.com/java-backend,Redmond,WA,"Hibernate, Java, PostgreSQL, REST APIs, SQL, Spring Boot",2025-04-23 21:54:06.323530,292,111,636
624,DevOps Engineer,DevOps Engineer,Netflix,$80k-$100k,"Atlanta, GA",Entry,Hybrid,Contract,https://jobs.netflix.com/java-backend,Atlanta,GA,"Hibernate, Java, PostgreSQL, REST APIs, SQL, Spring Boot",2025-04-06 21:54:06.323530,431,257,725
842,Blockchain Developer,Blockchain Developer,Cisco,$140k-$160k,"Chicago, IL",Mid,Hybrid,Internship,https://jobs.cisco.com/security-analyst,Chicago,IL,"Encryption, Firewalls, Network Security, Python, SIEM, Threat Analysis",2025-04-15 21:54:06.323530,283,213,524
491,Data Scientist,Data Scientist,Cisco,$120k-$140k,"Atlanta, GA",Mid,Yes,Full-time,https://jobs.cisco.com/security-analyst,Atlanta,GA,"Encryption, Firewalls, Network Security, Python, SIEM, Threat Analysis",2025-04-19 21:54:06.323530,488,61,800
149,Mobile App Developer,Mobile App Developer,Cisco,$100k-$120k,"Atlanta, GA",Mid,Yes,Internship,https://jobs.cisco.com/security-analyst,Atlanta,GA,"Encryption, Firewalls, Network Security, Python, SIEM, Threat Analysis",2025-04-14 21:54:06.323530,155,18,434
730,Cybersecurity Analyst,Cybersecurity Analyst,Cisco,$140k-$160k,"Salt Lake City, UT",Senior,Yes,Full-time,https://jobs.cisco.com/security-analyst,Salt Lake City,UT,"Encryption, Firewalls, Network Security, Python, SIEM, Threat Analysis",2025-03-25 21:54:06.323530,340,66,512
491,Backend Developer,Backend Developer,Cisco,$120k-$140k,"Atlanta, GA",Mid,Yes,Full-time,https://jobs.cisco.com/security-analyst,Atlanta,GA,"Encryption, Firewalls, Network Security, Python, SIEM, Threat Analysis",2025-04-19 21:54:06.323530,488,61,800
95,Database Administrator,Database Administrator,LinkedIn,$80k-$100k,"Denver, CO",Entry,Yes,Internship,https://linkedin.com/jobs/sre,Denver,CO,"Grafana, Incident Management, Kubernetes, Monitoring, Prometheus, SLAs",2025-04-19 21:54:06.323530,466,216,821
287,Full Stack Developer,Full Stack Developer,LinkedIn,$80k-$100k,"Washington, DC",Senior,Hybrid,Internship,https://linkedin.com/jobs/sre,Washington,DC,"Grafana, Incident Management, Kubernetes, Monitoring, Prometheus, SLAs",2025-04-09 21:54:06.323530,84,163,309
559,Game Developer,Game Developer,LinkedIn,$140k-$160k,"Phoenix, AZ",Mid,No,Full-time,https://linkedin.com/jobs/sre,Phoenix,AZ,"Grafana, Incident Management, Kubernetes, Monitoring, Prometheus, SLAs",2025-04-02 21:54:06.323530,61,281,315
287,AI Engineer,AI Engineer,LinkedIn,$80k-$100k,"Washington, DC",Senior,Hybrid,Internship,https://linkedin.com/jobs/sre,Washington,DC,"Grafana, Incident Management, Kubernetes, Monitoring, Prometheus, SLAs",2025-04-09 21:54:06.323530,84,163,309
651,Business Analyst,Business Analyst,LinkedIn,$120k-$140k,"Washington, DC",Entry,Hybrid,Contract,https://linkedin.com/jobs/sre,Washington,DC,"Grafana, Incident Management, Kubernetes, Monitoring, Prometheus, SLAs",2025-04-12 21:54:06.323530,159,16,450
525,Data Scientist,Data Scientist,Airbnb,$140k-$160k,"San Francisco, CA",Senior,Hybrid,Full-time,https://airbnb.com/product-manager,San Francisco,CA,"Analytics, MVP, Roadmapping, Stakeholder Communication, User Stories, Wireframing",2025-04-10 21:54:06.323530,170,129,493
354,Product Manager,Product Manager,Airbnb,$80k-$100k,"Cupertino, CA",Entry,Hybrid,Contract,https://airbnb.com/product-manager,Cupertino,CA,"Analytics, MVP, Roadmapping, Stakeholder Communication, User Stories, Wireframing",2025-03-27 21:54:06.323530,217,243,392
477,Game Developer,Game Developer,Airbnb,$120k-$140k,"San Francisco, CA",Entry,Hybrid,Contract,https://airbnb.com/product-manager,San Francisco,CA,"Analytics, MVP, Roadmapping, Stakeholder Communication, User Stories, Wireframing",2025-04-08 21:54:06.323530,226,195,477
866,Machine Learning Engineer,Machine Learning Engineer,Airbnb,$80k-$100k,"Redmond, WA",Entry,Yes,Contract,https://airbnb.com/product-manager,Redmond,WA,"Analytics, MVP, Roadmapping, Stakeholder Communication, User Stories, Wireframing",2025-04-08 21:54:06.323530,460,299,585
578,Cybersecurity Analyst,Cybersecurity Analyst,Airbnb,$120k-$140k,"Washington, DC",Mid,Yes,Internship,https://airbnb.com/product-manager,Washington,DC,"Analytics, MVP, Roadmapping, Stakeholder Communication, User Stories, Wireframing",2025-04-14 21:54:06.323530,434,260,700
508,Product Manager,Product Manager,Accenture,$140k-$160k,"Washington, DC",Senior,Yes,Internship,https://accenture.com/scrum-master,Washington,DC,"Agile, Jira, Retrospectives, Scrum, Sprint Planning, Team Facilitation",2025-04-04 21:54:06.323530,374,199,867
190,QA Engineer,QA Engineer,Accenture,$120k-$140k,"Cupertino, CA",Senior,Yes,Internship,https://accenture.com/scrum-master,Cupertino,CA,"Agile, Jira, Retrospectives, Scrum, Sprint Planning, Team Facilitation",2025-04-08 21:54:06.323530,283,173,392
134,AI Engineer,AI Engineer,Accenture,$140k-$160k,"Phoenix, AZ",Entry,No,Internship,https://accenture.com/scrum-master,Phoenix,AZ,"Agile, Jira, Retrospectives, Scrum, Sprint Planning, Team Facilitation",2025-04-24 21:54:06.323530,418,218,582
755,DevOps Engineer,DevOps Engineer,Accenture,$140k-$160k,"Dallas, TX",Mid,Yes,Full-time,https://accenture.com/scrum-master,Dallas,TX,"Agile, Jira, Retrospectives, Scrum, Sprint Planning, Team Facilitation",2025-03-27 21:54:06.323530,28,54,413
501,Mobile App Developer,Mobile App Developer,Accenture,$100k-$120k,"Phoenix, AZ",Entry,Hybrid,Contract,https://accenture.com/scrum-master,Phoenix,AZ,"Agile, Jira, Retrospectives, Scrum, Sprint Planning, Team Facilitation",2025-03-30 21:54:06.323530,119,61,406
906,Scrum Master,Scrum Master,Coinbase,$80k-$100k,"Los Angeles, CA",Entry,Hybrid,Internship,https://coinbase.com/blockchain-dev,Los Angeles,CA,"Crypto Wallets, Ethereum, Smart Contracts, Solidity, Truffle, Web3.js",2025-04-24 21:54:06.323530,397,84,538
228,Data Scientist,Data Scientist,Coinbase,$100k-$120k,"Salt Lake City, UT",Entry,No,Internship,https://coinbase.com/blockchain-dev,Salt Lake City,UT,"Crypto Wallets, Ethereum, Smart Contracts, Solidity, Truffle, Web3.js",2025-04-16 21:54:06.323530,190,71,373
256,UI/UX Designer,UI/UX Designer,Coinbase,$80k-$100k,"San Francisco, CA",Mid,No,Full-time,https://coinbase.com/blockchain-dev,San Francisco,CA,"Crypto Wallets, Ethereum, Smart Contracts, Solidity, Truffle, Web3.js",2025-04-06 21:54:06.323530,11,27,498
574,Backend Developer,Backend Developer,Coinbase,$100k-$120k,"Seattle, WA",Senior,Yes,Internship,https://coinbase.com/blockchain-dev,Seattle,WA,"Crypto Wallets, Ethereum, Smart Contracts, Solidity, Truffle, Web3.js",2025-04-22 21:54:06.323530,364,111,648
387,Site Reliability Engineer,Site Reliability Engineer,Coinbase,$100k-$120k,"Redmond, WA",Senior,Hybrid,Contract,https://coinbase.com/blockchain-dev,Redmond,WA,"Crypto Wallets, Ethereum, Smart Contracts, Solidity, Truffle, Web3.js",2025-04-02 21:54:06.323530,356,37,593
940,Product Manager,Product Manager,IBM,$100k-$120k,"San Jose, CA",Senior,No,Full-time,https://ibm.com/cloud-engineer-jobs,San Jose,CA,"AWS, Azure, CloudFormation, Docker, IAM, Linux",2025-04-02 21:54:06.323530,275,162,715
783,Cloud Engineer,Cloud Engineer,IBM,$120k-$140k,"Denver, CO",Mid,Yes,Internship,https://ibm.com/cloud-engineer-jobs,Denver,CO,"AWS, Azure, CloudFormation, Docker, IAM, Linux",2025-04-14 21:54:06.323530,307,213,685
459,Backend Developer,Backend Developer,IBM,$140k-$160k,"Atlanta, GA",Entry,Hybrid,Internship,https://ibm.com/cloud-engineer-jobs,Atlanta,GA,"AWS, Azure, CloudFormation, Docker, IAM, Linux",2025-03-29 21:54:06.323530,203,69,368
215,Database Administrator,Database Administrator,IBM,$120k-$140k,"Denver, CO",Entry,No,Internship,https://ibm.com/cloud-engineer-jobs,Denver,CO,"AWS, Azure, CloudFormation, Docker, IAM, Linux",2025-04-17 21:54:06.323530,254,38,605
682,Full Stack Developer,Full Stack Developer,IBM,$120k-$140k,"Seattle, WA",Entry,No,Full-time,https://ibm.com/cloud-engineer-jobs,Seattle,WA,"AWS, Azure, CloudFormation, Docker, IAM, Linux",2025-04-11 21:54:06.323530,41,285,284
981,UI/UX Designer,UI/UX Designer,Microsoft,$120k-$140k,"Los Angeles, CA",Senior,Yes,Full-time,https://careers.microsoft.com/devops,Los Angeles,CA,"AWS, CI/CD, Docker, Kubernetes, Linux, Terraform",2025-04-23 21:54:06.323530,123,188,396
411,Product Manager,Product Manager,Microsoft,$100k-$120k,"San Francisco, CA",Entry,No,Internship,https://careers.microsoft.com/devops,San Francisco,CA,"AWS, CI/CD, Docker, Kubernetes, Linux, Terraform",2025-03-26 21:54:06.323530,337,145,809
524,Mobile App Developer,Mobile App Developer,Microsoft,$140k-$160k,"Los Angeles, CA",Entry,Hybrid,Full-time,https://careers.microsoft.com/devops,Los Angeles,CA,"AWS, CI/CD, Docker, Kubernetes, Linux, Terraform",2025-04-06 21:54:06.323530,431,253,682
627,Data Scientist,Data Scientist,Microsoft,$100k-$120k,"Austin, TX",Entry,No,Contract,https://careers.microsoft.com/devops,Austin,TX,"AWS, CI/CD, Docker, Kubernetes, Linux, Terraform",2025-04-15 21:54:06.323530,450,298,840
673,Business Analyst,Business Analyst,Microsoft,$120k-$140k,"Salt Lake City, UT",Entry,Yes,Contract,https://careers.microsoft.com/devops,Salt Lake City,UT,"AWS, CI/CD, Docker, Kubernetes, Linux, Terraform",2025-04-09 21:54:06.323530,355,98,661
596,Site Reliability Engineer,Site Reliability Engineer,Uber,$140k-$160k,"Austin, TX",Entry,Yes,Internship,https://uber.com/careers/ios-developer,Austin,TX,"Flutter, Java, Kotlin, React Native, Swift, Xcode",2025-04-19 21:54:06.323530,286,286,762
745,Business Analyst,Business Analyst,Uber,$100k-$120k,"Washington, DC",Senior,Hybrid,Contract,https://uber.com/careers/ios-developer,Washington,DC,"Flutter, Java, Kotlin, React Native, Swift, Xcode",2025-04-12 21:54:06.323530,409,7,624
378,UI/UX Designer,UI/UX Designer,Uber,$100k-$120k,"Boston, MA",Mid,Hybrid,Full-time,https://uber.com/careers/ios-developer,Boston,MA,"Flutter, Java, Kotlin, React Native, Swift, Xcode",2025-04-03 21:54:06.323530,88,252,543
231,Frontend Developer,Frontend Developer,Uber,$140k-$160k,"Boston, MA",Senior,Yes,Internship,https://uber.com/careers/ios-developer,Boston,MA,"Flutter, Java, Kotlin, React Native, Swift, Xcode",2025-04-11 21:54:06.323530,394,247,812
144,Mobile App Developer,Mobile App Developer,Uber,$120k-$140k,"Salt Lake City, UT",Entry,No,Internship,https://uber.com/careers/ios-developer,Salt Lake City,UT,"Flutter, Java, Kotlin, React Native, Swift, Xcode",2025-04-12 21:54:06.323530,188,263,438
942,Machine Learning Engineer,Machine Learning Engineer,Infosys,$80k-$100k,"Phoenix, AZ",Mid,Yes,Full-time,https://infosys.com/qa-engineer,Phoenix,AZ,"Automation, JUnit, Manual Testing, Postman, Selenium, TestNG",2025-04-23 21:54:06.323530,468,279,724
267,Site Reliability Engineer,Site Reliability Engineer,Infosys,$140k-$160k,"Boston, MA",Mid,Hybrid,Full-time,https://infosys.com/qa-engineer,Boston,MA,"Automation, JUnit, Manual Testing, Postman, Selenium, TestNG",2025-03-31 21:54:06.323530,270,144,588
720,Cloud Engineer,Cloud Engineer,Infosys,$100k-$120k,"Austin, TX",Entry,No,Contract,https://infosys.com/qa-engineer,Austin,TX,"Automation, JUnit, Manual Testing, Postman, Selenium, TestNG",2025-04-04 21:54:06.323530,132,45,544
105,Full Stack Developer,Full Stack Developer,Infosys,$80k-$100k,"Raleigh, NC",Senior,Yes,Full-time,https://infosys.com/qa-engineer,Raleigh,NC,"Automation, JUnit, Manual Testing, Postman, Selenium, TestNG",2025-03-26 21:54:06.323530,288,12,452
309,AI Engineer,AI Engineer,Infosys,$80k-$100k,"Boston, MA",Mid,No,Contract,https://infosys.com/qa-engineer,Boston,MA,"Automation, JUnit, Manual Testing, Postman, Selenium, TestNG",2025-04-03 21:54:06.323530,45,5,492
66,Site Reliability Engineer,Site Reliability Engineer,Spotify,$120k-$140k,"Palo Alto, CA",Mid,Hybrid,Full-time,https://spotifyjobs.com/fullstack-dev,Palo Alto,CA,"Express.js, HTML, JavaScript, MongoDB, Node.js, React",2025-04-19 21:54:06.323530,444,164,917
396,Backend Developer,Backend Developer,Spotify,$140k-$160k,"Washington, DC",Senior,Hybrid,Internship,https://spotifyjobs.com/fullstack-dev,Washington,DC,"Express.js, HTML, JavaScript, MongoDB, Node.js, React",2025-03-27 21:54:06.323530,461,12,918
396,Full Stack Developer,Full Stack Developer,Spotify,$140k-$160k,"Washington, DC",Senior,Hybrid,Internship,https://spotifyjobs.com/fullstack-dev,Washington,DC,"Express.js, HTML, JavaScript, MongoDB, Node.js, React",2025-03-27 21:54:06.323530,461,12,918
589,Product Manager,Product Manager,Spotify,$80k-$100k,"Los Angeles, CA",Entry,No,Contract,https://spotifyjobs.com/fullstack-dev,Los Angeles,CA,"Express.js, HTML, JavaScript, MongoDB, Node.js, React",2025-03-31 21:54:06.323530,250,185,522
368,Machine Learning Engineer,Machine Learning Engineer,Spotify,$120k-$140k,"Redmond, WA",Mid,Yes,Full-time,https://spotifyjobs.com/fullstack-dev,Redmond,WA,"Express.js, HTML, JavaScript, MongoDB, Node.js, React",2025-04-08 21:54:06.323530,47,229,401
131,AI Engineer,AI Engineer,Deloitte,$140k-$160k,"Atlanta, GA",Senior,Yes,Full-time,https://deloitte.com/careers/ba,Atlanta,GA,"Business Strategy, Excel, Power BI, SQL, Stakeholder Management, Tableau",2025-04-17 21:54:06.323530,74,289,371
272,Mobile App Developer,Mobile App Developer,Deloitte,$140k-$160k,"Atlanta, GA",Entry,Hybrid,Full-time,https://deloitte.com/careers/ba,Atlanta,GA,"Business Strategy, Excel, Power BI, SQL, Stakeholder Management, Tableau",2025-03-28 21:54:06.323530,100,210,318
335,QA Engineer,QA Engineer,Deloitte,$120k-$140k,"Salt Lake City, UT",Senior,Hybrid,Full-time,https://deloitte.com/careers/ba,Salt Lake City,UT,"Business Strategy, Excel, Power BI, SQL, Stakeholder Management, Tableau",2025-03-31 21:54:06.323530,182,33,421
58,Game Developer,Game Developer,Deloitte,$120k-$140k,"San Jose, CA",Senior,Hybrid,Full-time,https://deloitte.com/careers/ba,San Jose,CA,"Business Strategy, Excel, Power BI, SQL, Stakeholder Management, Tableau",2025-04-04 21:54:06.323530,423,179,848
764,Frontend Developer,Frontend Developer,Deloitte,$80k-$100k,"Cupertino, CA",Mid,No,Full-time,https://deloitte.com/careers/ba,Cupertino,CA,"Business Strategy, Excel, Power BI, SQL, Stakeholder Management, Tableau",2025-04-04 21:54:06.323530,39,181,254
698,Cloud Engineer,Cloud Engineer,Amazon,$140k-$160k,"San Francisco, CA",Mid,Yes,Contract,https://amazon.jobs/etl-dev,San Francisco,CA,"Airflow, Apache Spark, ETL, Hadoop, Python, SQL",2025-04-01 21:54:06.323530,153,27,632
344,Game Developer,Game Developer,Amazon,$80k-$100k,"Columbus, OH",Entry,Hybrid,Contract,https://amazon.jobs/etl-dev,Columbus,OH,"Airflow, Apache Spark, ETL, Hadoop, Python, SQL",2025-03-27 21:54:06.323530,94,265,342
110,UI/UX Designer,UI/UX Designer,Amazon,$100k-$120k,"Denver, CO",Senior,Hybrid,Full-time,https://amazon.jobs/etl-dev,Denver,CO,"Airflow, Apache Spark, ETL, Hadoop, Python, SQL",2025-04-05 21:54:06.323530,393,120,773
811,Cybersecurity Analyst,Cybersecurity Analyst,Amazon,$140k-$160k,"Denver, CO",Senior,Hybrid,Contract,https://amazon.jobs/etl-dev,Denver,CO,"Airflow, Apache Spark, ETL, Hadoop, Python, SQL",2025-04-04 21:54:06.323530,475,226,779
81,Backend Developer,Backend Developer,Amazon,$100k-$120k,"Boston, MA",Mid,Yes,Full-time,https://amazon.jobs/etl-dev,Boston,MA,"Airflow, Apache Spark, ETL, Hadoop, Python, SQL",2025-04-18 21:54:06.323530,413,66,621
88,Data Engineer,Data Engineer,Oracle,$80k-$100k,"Cupertino, CA",Mid,No,Full-time,https://oracle.com/db-admin-jobs,Cupertino,CA,"Backup & Recovery, MongoDB, MySQL, Oracle, Performance Tuning, SQL",2025-04-21 21:54:06.323530,304,98,734
251,Cloud Engineer,Cloud Engineer,Oracle,$140k-$160k,"Raleigh, NC",Mid,No,Internship,https://oracle.com/db-admin-jobs,Raleigh,NC,"Backup & Recovery, MongoDB, MySQL, Oracle, Performance Tuning, SQL",2025-04-04 21:54:06.323530,300,38,528
189,Database Administrator,Database Administrator,Oracle,$100k-$120k,"Atlanta, GA",Mid,Hybrid,Full-time,https://oracle.com/db-admin-jobs,Atlanta,GA,"Backup & Recovery, MongoDB, MySQL, Oracle, Performance Tuning, SQL",2025-04-11 21:54:06.323530,163,202,512
289,Product Manager,Product Manager,Oracle,$80k-$100k,"Chicago, IL",Mid,No,Internship,https://oracle.com/db-admin-jobs,Chicago,IL,"Backup & Recovery, MongoDB, MySQL, Oracle, Performance Tuning, SQL",2025-04-02 21:54:06.323530,180,125,407
434,Game Developer,Game Developer,Oracle,$140k-$160k,"San Francisco, CA",Mid,Hybrid,Full-time,https://oracle.com/db-admin-jobs,San Francisco,CA,"Backup & Recovery, MongoDB, MySQL, Oracle, Performance Tuning, SQL",2025-04-15 21:54:06.323530,166,148,501
260,Data Engineer,Data Engineer,Epic Games,$120k-$140k,"Miami, FL",Senior,No,Contract,https://epicgames.com/unity-dev,Miami,FL,"3D Modeling, Blender, C#, Game Physics, Unity, Unreal Engine",2025-04-18 21:54:06.323530,472,138,898
586,Data Scientist,Data Scientist,Epic Games,$140k-$160k,"Los Angeles, CA",Entry,No,Contract,https://epicgames.com/unity-dev,Los Angeles,CA,"3D Modeling, Blender, C#, Game Physics, Unity, Unreal Engine",2025-04-08 21:54:06.323530,24,23,296
933,Blockchain Developer,Blockchain Developer,Epic Games,$80k-$100k,"San Jose, CA",Mid,No,Contract,https://epicgames.com/unity-dev,San Jose,CA,"3D Modeling, Blender, C#, Game Physics, Unity, Unreal Engine",2025-03-30 21:54:06.323530,205,114,599
899,Machine Learning Engineer,Machine Learning Engineer,Epic Games,$120k-$140k,"Austin, TX",Entry,Yes,Internship,https://epicgames.com/unity-dev,Austin,TX,"3D Modeling, Blender, C#, Game Physics, Unity, Unreal Engine",2025-04-24 21:54:06.323530,228,196,579
681,Mobile App Developer,Mobile App Developer,Epic Games,$120k-$140k,"Seattle, WA",Entry,Hybrid,Full-time,https://epicgames.com/unity-dev,Seattle,WA,"3D Modeling, Blender, C#, Game Physics, Unity, Unreal Engine",2025-04-19 21:54:06.323530,467,211,569
